centerFrame,time,zeroCross,intensity,autoCorr,LPC1,error,bandRatio,HNR
142,1.42000,43.00000,-18.93617,0.87562,-1.66364,-2.83117,11.55553,-200.00000
143,1.43000,47.00000,-19.01944,0.87678,-1.70826,-2.84387,11.39433,-200.00000
144,1.44000,52.00000,-19.05019,0.87440,-1.64232,-2.82446,11.51033,-200.00000
145,1.45000,51.00000,-18.98127,0.87233,-1.75628,-2.84888,11.53902,-200.00000
146,1.46000,52.00000,-18.92332,0.87428,-1.57566,-2.79549,11.63790,-200.00000
147,1.47000,53.00000,-18.73232,0.87707,-1.66840,-2.83000,11.83526,-200.00000
148,1.48000,52.00000,-18.85264,0.87330,-1.67281,-2.82006,11.81974,-200.00000
149,1.49000,55.00000,-18.83206,0.87544,-1.73044,-2.84258,11.96813,-200.00000
150,1.50000,56.00000,-18.88086,0.87245,-1.60909,-2.79600,11.81487,-160.31069
151,1.51000,51.00000,-18.79216,0.87822,-1.63535,-2.80989,12.10436,-120.63243
152,1.52000,51.00000,-18.45567,0.88820,-1.55879,-2.79393,12.42606,-120.63243
153,1.53000,51.00000,-18.51248,0.89076,-1.64243,-2.82500,12.48532,-120.63243
154,1.54000,46.00000,-18.80834,0.88503,-1.59545,-2.81273,12.40632,-120.63243
155,1.55000,46.00000,-18.66895,0.88740,-1.53570,-2.78956,12.64724,-120.65116
156,1.56000,47.00000,-18.61252,0.88967,-1.67937,-2.84264,12.79399,-160.32942
157,1.57000,44.00000,-18.51346,0.89498,-1.52361,-2.78234,12.86021,-120.67823
158,1.58000,47.00000,-18.38387,0.89952,-1.73648,-2.85605,13.00469,-120.67823
159,1.59000,52.00000,-18.70863,0.89596,-1.65390,-2.83091,12.75698,-120.67823
160,1.60000,49.00000,-18.83801,0.90025,-1.70224,-2.85292,12.73757,-120.64977
161,1.61000,44.00000,-18.79173,0.90368,-1.69414,-2.84862,12.80742,-80.92996
162,1.62000,44.00000,-18.61910,0.90631,-1.66219,-2.83909,13.04687,-80.88847
163,1.63000,44.00000,-18.54779,0.90635,-1.70303,-2.85183,13.16795,-41.18587
164,1.64000,42.00000,-18.56866,0.90658,-1.61391,-2.83164,13.25419,-1.50849
165,1.65000,42.00000,-18.50873,0.91156,-1.65149,-2.84747,13.39184,-1.53845
166,1.66000,49.00000,-18.66414,0.90845,-1.68023,-2.84268,13.28050,-1.52637
167,1.67000,47.00000,-18.55539,0.90773,-1.74171,-2.85976,13.47691,-1.48129
168,1.68000,43.00000,-18.60651,0.90910,-1.72012,-2.85065,13.40451,-1.30146
169,1.69000,38.00000,-18.64271,0.91349,-1.74914,-2.86488,13.41359,-1.21900
170,1.70000,37.00000,-18.67016,0.91185,-1.74712,-2.86246,13.35285,-1.00725
171,1.71000,38.00000,-18.69233,0.91271,-1.64511,-2.83700,13.35691,-0.97014
172,1.72000,34.00000,-18.76370,0.91656,-1.74837,-2.86511,13.23839,-0.94959
173,1.73000,37.00000,-18.80998,0.91534,-1.58058,-2.82247,13.24765,-1.09682
174,1.74000,37.00000,-18.76208,0.91701,-1.88275,-2.88417,13.22064,-40.85666
175,1.75000,40.00000,-18.99618,0.91388,-1.66380,-2.84027,13.03893,-41.04932
176,1.76000,42.00000,-19.14671,0.91068,-1.75048,-2.85548,12.94600,-41.05928
177,1.77000,45.00000,-19.23523,0.90400,-1.69968,-2.83636,12.78534,-41.04279
178,1.78000,45.00000,-19.26154,0.90849,-1.59014,-2.81198,12.85614,-41.02135
179,1.79000,40.00000,-19.30041,0.90882,-1.62808,-2.82901,12.81301,-1.30758
180,1.80000,41.00000,-19.46886,0.90462,-1.42243,-2.76018,12.67121,-1.26058
181,1.81000,44.00000,-19.50472,0.90180,-1.54768,-2.80070,12.64643,-1.20902
182,1.82000,44.00000,-19.55745,0.90120,-1.35607,-2.73176,12.51475,-1.19958
183,1.83000,43.00000,-19.69299,0.90363,-1.50840,-2.79128,12.37877,-1.11680
184,1.84000,43.00000,-19.63948,0.90126,-1.29808,-2.67274,12.32519,-1.05181
185,1.85000,44.00000,-19.64995,0.90547,-1.62076,-2.80830,12.27989,-1.11467
186,1.86000,44.00000,-19.86091,0.89265,-1.40549,-2.68760,12.05567,-1.25983
187,1.87000,45.00000,-20.24058,0.89053,-1.64581,-2.79250,11.76168,-1.39324
188,1.88000,47.00000,-20.36868,0.88762,-1.56869,-2.76999,11.62320,-41.23268
189,1.89000,49.00000,-20.52693,0.88588,-1.61861,-2.78189,11.54793,-81.01143
190,1.90000,49.00000,-20.69953,0.88310,-1.51339,-2.73205,11.34141,-120.68375
191,1.91000,48.00000,-20.83525,0.87965,-1.55402,-2.74872,11.19667,-160.34922
192,1.92000,50.00000,-20.83187,0.88028,-1.53525,-2.74788,11.18371,-200.00000
193,1.93000,49.00000,-20.65071,0.88180,-1.58152,-2.75445,11.22775,-200.00000
194,1.94000,44.00000,-20.55674,0.88841,-1.56811,-2.74176,10.97298,-200.00000
195,1.95000,43.00000,-20.43097,0.89218,-1.62694,-2.76477,10.93335,-200.00000
196,1.96000,39.00000,-20.42327,0.89446,-1.62610,-2.76205,10.95085,-200.00000
197,1.97000,41.00000,-20.58881,0.89617,-1.65838,-2.77906,10.82599,-200.00000
198,1.98000,41.00000,-20.72668,0.89417,-1.71395,-2.79832,10.64786,-200.00000
199,1.99000,42.00000,-20.77431,0.89118,-1.61403,-2.75490,10.59750,-200.00000
200,2.00000,42.00000,-20.63327,0.89164,-1.65821,-2.76930,10.81029,-200.00000
201,2.01000,44.00000,-20.67262,0.89367,-1.76499,-2.81416,10.79081,-160.26944
202,2.02000,47.00000,-20.81683,0.88755,-1.61454,-2.75408,10.72934,-120.43161
203,2.03000,38.00000,-20.16384,0.90496,-1.67839,-2.81056,10.89403,-120.43161
204,2.04000,47.00000,-20.12740,0.90341,-1.63133,-2.79994,10.83640,-80.64256
205,2.05000,46.00000,-19.53075,0.91056,-1.68029,-2.83471,11.23939,-40.91260
206,2.06000,44.00000,-19.06087,0.91548,-1.68937,-2.84956,11.77224,-40.93262
207,2.07000,48.00000,-19.24384,0.90796,-1.73430,-2.84968,11.78537,-41.08798
208,2.08000,48.00000,-19.32006,0.90577,-1.67476,-2.82961,11.71906,-1.39142
209,2.09000,42.00000,-18.80716,0.91528,-1.62771,-2.83156,11.81130,-1.52598
210,2.10000,41.00000,-18.83973,0.91649,-1.75743,-2.86345,11.74142,-1.51924
211,2.11000,41.00000,-18.93006,0.91230,-1.66160,-2.82975,11.68006,-1.38464
212,2.12000,39.00000,-18.60733,0.91461,-1.83918,-2.87792,12.20831,-1.38572
213,2.13000,40.00000,-18.92843,0.90990,-1.77314,-2.86482,12.01500,-1.38940
214,2.14000,39.00000,-19.12538,0.90621,-1.73500,-2.85195,11.79616,-1.32658
215,2.15000,39.00000,-19.03229,0.90524,-1.70843,-2.84561,12.02289,-1.34823
216,2.16000,41.00000,-18.97963,0.90064,-1.58860,-2.81013,12.10207,-1.52617
217,2.17000,41.00000,-19.03943,0.89706,-1.65721,-2.81638,12.18254,-1.53332
218,2.18000,39.00000,-19.01518,0.89333,-1.61169,-2.80069,12.30474,-1.51361
219,2.19000,37.00000,-19.10787,0.89085,-1.85365,-2.85043,12.27949,-1.54350
220,2.20000,39.00000,-19.15640,0.88942,-1.84681,-2.84700,12.14238,-1.52243
221,2.21000,47.00000,-19.08614,0.88690,-1.71552,-2.80775,12.21381,-1.41802
222,2.22000,47.00000,-19.09241,0.88875,-1.80288,-2.83386,12.15012,-1.29653
223,2.23000,45.00000,-19.16619,0.88835,-1.65915,-2.78817,12.13872,-1.22106
224,2.24000,43.00000,-19.13120,0.89548,-1.70394,-2.81533,12.14326,-1.15071
225,2.25000,45.00000,-19.32679,0.89138,-1.67522,-2.79498,11.84639,-1.11047
226,2.26000,44.00000,-19.38572,0.88770,-1.64416,-2.77894,11.83413,-1.09548
227,2.27000,47.00000,-19.57546,0.88324,-1.59787,-2.75366,11.55608,-1.09230
228,2.28000,50.00000,-19.60983,0.87875,-1.77215,-2.79717,11.59572,-1.18607
229,2.29000,54.00000,-19.87270,0.87035,-1.62031,-2.73096,11.20596,-1.22724
230,2.30000,56.00000,-19.97151,0.86478,-1.74314,-2.76494,10.89384,-1.29321
231,2.31000,51.00000,-20.13820,0.85742,-1.74875,-2.75754,10.05345,-1.36814
232,2.32000,48.00000,-20.24755,0.85146,-1.84357,-2.78132,9.57320,-1.43567
233,2.33000,48.00000,-20.24861,0.84395,-1.68731,-2.73039,8.72320,-1.40076
234,2.34000,45.00000,-20.27923,0.83411,-1.81993,-2.76869,8.29090,-41.11734
235,2.35000,50.00000,-20.15455,0.82598,-1.69728,-2.71802,7.55818,-40.09269
236,2.36000,46.00000,-15.10940,0.93618,-1.33984,-2.78294,9.40858,-38.87563
237,2.37000,31.00000,-11.16402,0.96332,-1.61753,-2.92283,12.69800,-37.40707
238,2.38000,24.00000,-7.67940,0.96755,-1.59730,-2.93618,16.52205,-36.02731
239,2.39000,22.00000,-5.95256,0.96765,-1.73684,-2.95242,18.07328,5.28590
240,2.40000,20.00000,-4.66106,0.97014,-1.88462,-2.97251,19.27995,5.18066
241,2.41000,21.00000,-4.00568,0.97462,-1.56611,-2.95140,18.27888,4.33231
242,2.42000,23.00000,-6.45527,0.97238,-1.72169,-2.96091,16.79275,3.54794
243,2.43000,24.00000,-11.67943,0.94858,-1.30556,-2.83728,8.56846,3.13721
244,2.44000,21.00000,-11.86992,0.95383,-1.43277,-2.89734,8.37070,2.80952
245,2.45000,26.00000,-9.52510,0.96329,-1.47127,-2.91106,10.17837,3.38290
246,2.46000,21.00000,-5.88464,0.97465,-1.52543,-2.94932,13.30079,4.52065
247,2.47000,11.00000,-4.00112,0.97707,-1.76591,-2.96537,16.11691,5.33846
248,2.48000,12.00000,-3.08201,0.97676,-1.64805,-2.95731,18.10834,5.79380
249,2.49000,15.00000,-2.27969,0.97574,-1.46242,-2.93902,17.57036,5.91549
250,2.50000,24.00000,-2.01284,0.97144,-1.70883,-2.95584,19.10490,5.97149
251,2.51000,28.00000,-1.06293,0.97121,-1.49053,-2.94725,20.40555,6.00306
252,2.52000,24.00000,0.40509,0.97272,-1.66400,-2.97179,23.00617,6.00468
253,2.53000,22.00000,1.06501,0.97292,-1.68688,-2.97799,24.14379,6.02920
254,2.54000,21.00000,1.30038,0.97504,-1.59491,-2.98074,24.39187,6.17059
255,2.55000,21.00000,1.35459,0.97572,-1.65439,-2.98154,25.14453,6.03120
256,2.56000,21.00000,0.69952,0.97425,-1.81964,-2.98475,25.77696,6.06524
257,2.57000,25.00000,-0.36809,0.97075,-1.66264,-2.96958,22.92513,5.92501
258,2.58000,25.00000,-0.95856,0.96805,-1.47868,-2.93952,20.50616,6.01168
259,2.59000,23.00000,-1.68158,0.96666,-1.51759,-2.94068,20.15626,5.95564
260,2.60000,27.00000,-1.94836,0.96691,-1.47107,-2.93765,20.50846,6.04235
261,2.61000,26.00000,-1.80018,0.96958,-1.51297,-2.94980,22.10310,5.97537
262,2.62000,27.00000,-2.02415,0.96995,-1.66178,-2.96390,23.01704,6.05810
263,2.63000,27.00000,-1.91905,0.97172,-1.48226,-2.94475,21.06241,5.94617
264,2.64000,23.00000,-2.31116,0.97241,-1.63907,-2.96624,22.46782,5.86327
265,2.65000,20.00000,-2.74819,0.97220,-1.43080,-2.94114,21.20107,5.81642
266,2.66000,20.00000,-3.43203,0.97295,-1.51784,-2.95028,20.86335,5.61879
267,2.67000,23.00000,-4.00840,0.97193,-1.56840,-2.95837,20.78043,5.68361
268,2.68000,24.00000,-4.13712,0.97093,-1.31804,-2.91211,19.11177,5.57164
269,2.69000,24.00000,-3.91160,0.97267,-1.59831,-2.96453,22.42513,5.48726
270,2.70000,22.00000,-4.04133,0.97251,-1.30256,-2.92129,20.17532,5.39982
271,2.71000,19.00000,-4.51334,0.97262,-1.43326,-2.94591,20.86795,5.28329
272,2.72000,23.00000,-4.84667,0.97112,-1.49037,-2.93703,20.24233,4.94790
273,2.73000,26.00000,-6.19710,0.96644,-1.42899,-2.91916,19.24904,4.91611
274,2.74000,21.00000,-6.75014,0.96610,-1.68314,-2.93901,19.35121,4.83432
275,2.75000,21.00000,-6.79852,0.96599,-1.54396,-2.91633,18.23470,4.64394
276,2.76000,20.00000,-7.11456,0.96235,-1.62448,-2.93184,18.06972,4.62464
277,2.77000,23.00000,-7.33432,0.95529,-1.61308,-2.90658,16.16984,4.58844
278,2.78000,27.00000,-7.58507,0.95396,-1.75811,-2.92638,16.18174,4.39106
279,2.79000,27.00000,-8.15782,0.94867,-1.70629,-2.91349,16.17835,4.41854
280,2.80000,30.00000,-7.87448,0.94848,-1.79666,-2.91973,15.56595,4.42556
281,2.81000,31.00000,-7.40134,0.95142,-1.59610,-2.89299,15.32757,4.32187
282,2.82000,29.00000,-7.69457,0.94682,-1.79092,-2.91268,16.61727,4.40194
283,2.83000,29.00000,-8.23870,0.94473,-1.48581,-2.84642,15.62116,4.37460
284,2.84000,30.00000,-7.90918,0.95236,-1.73241,-2.91204,16.40896,4.20004
285,2.85000,31.00000,-8.13340,0.94798,-1.53660,-2.86192,14.28770,4.08602
286,2.86000,25.00000,-8.77283,0.93833,-1.49359,-2.82428,14.26750,4.26081
287,2.87000,28.00000,-8.48884,0.93636,-1.61648,-2.85316,15.36554,4.02707
288,2.88000,39.00000,-8.31396,0.93673,-1.47255,-2.82467,13.24290,4.10726
289,2.89000,29.00000,-8.48450,0.94245,-1.52092,-2.83475,13.50581,4.17985
290,2.90000,22.00000,-8.90120,0.94137,-1.62081,-2.85676,13.88451,4.35105
291,2.91000,31.00000,-8.97109,0.93803,-1.64051,-2.85537,13.19006,4.21835
292,2.92000,31.00000,-8.48874,0.94090,-1.62967,-2.86739,12.01852,4.35664
293,2.93000,21.00000,-8.08202,0.94647,-1.80535,-2.91521,12.43993,4.19686
294,2.94000,24.00000,-8.31865,0.94179,-1.73859,-2.88758,12.92174,4.31340
295,2.95000,31.00000,-8.80837,0.93096,-1.64492,-2.84884,13.16734,4.30256
296,2.96000,27.00000,-8.13375,0.94207,-1.82945,-2.89632,13.98728,4.28009
297,2.97000,23.00000,-7.77829,0.94294,-1.68033,-2.86784,13.61753,4.14461
298,2.98000,28.00000,-8.52416,0.93055,-1.79987,-2.87431,12.81350,4.34368
299,2.99000,35.00000,-8.56491,0.93031,-1.69716,-2.86363,12.27664,4.18520
300,3.00000,30.00000,-8.04027,0.92884,-1.81112,-2.88514,11.44471,4.03814
301,3.01000,25.00000,-8.28259,0.93102,-1.59329,-2.84784,11.26320,4.11228
302,3.02000,31.00000,-8.72193,0.93884,-1.76966,-2.89073,12.67304,4.11089
303,3.03000,38.00000,-8.56553,0.92934,-1.53412,-2.82155,11.52593,4.10116
304,3.04000,37.00000,-8.35274,0.92255,-1.65889,-2.84854,11.24416,4.12408
305,3.05000,35.00000,-8.21396,0.92992,-1.65296,-2.85578,11.94566,4.14762
