# frameNo,time,energy,intensity,sonorantEnergy,sonorantIntensity,band2to20Energy,band2to20Intensity,band1Intensity,band2Intensity,band3Intensity,band4Intensity,band1overlapInten,band2overlapInten,band3overlapInten,band4overlapInten,band1vaishaliInten,band2vaishaliInten,band3vaishaliInten,band4vaishaliInten,spectralTilt
32.00000,0.32000,0.07866,-11.04247,0.07481,-11.26030,0.07743,-11.11086,-25.28534,-18.98148,-20.70270,-18.10347,-13.06561,-14.48519,-16.58010,-32.33627,-28.24448,-12.59924,-18.04049,-33.01030,60.31071
33.00000,0.33000,0.08017,-10.95971,0.07660,-11.15754,0.07891,-11.02890,-25.48737,-18.90454,-20.34893,-18.16616,-12.90396,-14.35249,-16.66159,-31.97767,-28.47027,-12.45655,-18.09781,-33.01030,60.19140
34.00000,0.34000,0.08054,-10.93991,0.07659,-11.15807,0.07905,-11.02094,-25.45444,-18.81879,-20.92253,-18.00122,-12.88284,-14.35406,-16.55556,-31.30111,-28.01002,-12.48414,-17.92377,-33.01030,61.46713
35.00000,0.35000,0.07630,-11.17461,0.07299,-11.36761,0.07531,-11.23153,-26.27515,-18.56519,-20.89270,-18.62614,-12.97026,-14.66097,-17.03190,-31.64380,-29.29451,-12.56958,-18.54691,-33.01030,59.83795
36.00000,0.36000,0.07689,-11.14140,0.07351,-11.33659,0.07576,-11.20553,-26.02802,-18.52903,-20.85234,-18.78652,-12.89252,-14.76290,-17.18998,-32.20968,-29.05292,-12.47369,-18.70306,-33.01030,60.43967
37.00000,0.37000,0.07798,-11.08040,0.07454,-11.27626,0.07684,-11.14425,-25.88087,-18.11097,-21.28412,-18.72042,-12.76677,-14.72599,-17.10707,-31.97500,-28.95389,-12.42215,-18.64865,-33.01030,61.18600
38.00000,0.38000,0.08015,-10.96111,0.07642,-11.16808,0.07877,-11.03657,-25.63930,-17.85647,-21.03955,-18.82060,-12.58850,-14.64857,-17.24783,-31.63115,-28.69184,-12.24089,-18.73808,-33.01030,63.79342
39.00000,0.39000,0.07739,-11.11315,0.07411,-11.30147,0.07620,-11.18069,-26.22559,-17.47265,-21.56026,-19.37619,-12.56282,-14.97704,-17.77869,-31.79953,-29.22524,-12.25928,-19.28520,-33.01030,62.15877
40.00000,0.40000,0.08219,-10.85155,0.07884,-11.03266,0.08118,-10.90547,-26.03617,-17.25042,-20.94599,-19.29091,-12.24565,-14.63734,-17.62396,-31.94816,-29.42808,-11.94665,-19.20977,-33.01030,65.72024
41.00000,0.41000,0.07936,-11.00397,0.07650,-11.16358,0.07854,-11.04899,-26.84265,-16.78096,-21.66416,-19.63879,-12.28059,-14.90921,-18.05106,-32.59029,-30.06302,-12.01483,-19.55603,-33.01030,64.65326
42.00000,0.42000,0.08107,-10.91158,0.07820,-11.06767,0.08014,-10.96155,-26.60318,-16.79889,-20.76798,-19.96468,-12.12409,-14.66840,-18.34040,-32.89098,-30.00641,-11.83588,-19.89603,-33.01030,65.83382
43.00000,0.43000,0.07938,-11.00266,0.07660,-11.15756,0.07841,-11.05602,-26.63704,-16.59489,-20.88006,-20.39305,-12.17848,-14.79813,-18.67541,-33.01030,-29.93333,-11.87381,-20.32660,-33.01030,66.13603
44.00000,0.44000,0.08035,-10.95019,0.07769,-11.09618,0.07947,-10.99789,-26.48182,-16.57813,-20.52776,-20.45691,-12.12032,-14.75419,-18.73608,-33.01030,-29.99791,-11.79811,-20.39789,-33.01030,67.97346
45.00000,0.45000,0.07874,-11.03824,0.07612,-11.18519,0.07777,-11.09203,-26.80940,-16.24614,-20.52507,-20.41407,-12.26647,-14.76798,-18.77003,-33.01030,-29.75106,-11.89928,-20.34829,-33.01030,66.51236
46.00000,0.46000,0.07883,-11.03312,0.07616,-11.18250,0.07795,-11.08186,-26.60362,-16.38614,-20.15686,-20.83063,-12.19803,-14.78949,-19.10962,-33.01030,-29.99430,-11.82345,-20.76458,-33.01030,68.58217
47.00000,0.47000,0.07597,-11.19364,0.07296,-11.36897,0.07481,-11.26015,-26.29245,-16.15675,-20.36359,-21.23406,-12.38414,-15.00899,-19.52576,-33.01030,-29.30794,-11.96902,-21.15347,-33.01030,67.91532
48.00000,0.48000,0.07721,-11.12331,0.07463,-11.27068,0.07631,-11.17409,-27.36711,-16.29132,-19.86233,-21.21212,-12.32033,-14.92731,-19.44612,-33.01030,-30.24793,-11.84481,-21.13496,-33.01030,66.29763
49.00000,0.49000,0.07776,-11.09242,0.07493,-11.25354,0.07688,-11.14211,-26.95865,-16.08359,-19.46588,-21.43979,-12.35191,-14.77374,-19.60854,-33.01030,-30.06297,-11.80631,-21.33413,-33.01030,69.08146
